County,Race,Candidate,Party,Votes,PercentageOfTotalVotes,JurisdictionName
Asotin,Legislative District 9 State Senator,Mark G. Schoesler,(Prefers G.O.P. Party),7635,100,Legislative District 9
Asotin,Legislative District 9 State Representative Pos. 1,Steve Hailey,(Prefers G.O.P. Party),5561,62.47,Legislative District 9
Asotin,Legislative District 9 State Representative Pos. 1,Kenneth E. Caylor,(Prefers Democratic Party),3341,37.53,Legislative District 9
Asotin,Legislative District 9 State Representative Pos. 2,Joe Schmick,(Prefers Republican Party),5278,58.81,Legislative District 9
Asotin,Legislative District 9 State Representative Pos. 2,Tyana Kelley,(Prefers Democratic Party),3696,41.19,Legislative District 9
Asotin,ASOTIN COUNTY COUNTY COMMISSIONER #01,Doug Mattoon,(Prefers Democratic Party),7118,100,ASOTIN COUNTY
Asotin,ASOTIN COUNTY COUNTY COMMISSIONER #02,Don Brown,(Prefers Republican Party),4736,50.57,ASOTIN COUNTY
Asotin,ASOTIN COUNTY COUNTY COMMISSIONER #02,Vikki Bonfield,(Prefers Democratic Party),4629,49.43,ASOTIN COUNTY
Asotin,Supreme Court Justice Position 3,Mary Fairhurst,,6996,100,Supreme Court
Asotin,Supreme Court Justice Position 4,Charles W. Johnson,,6975,100,Supreme Court
Asotin,Supreme Court Justice Position 7,Debra L. Stephens,,6984,100,Supreme Court
Asotin,"Asotin, Columbia, Garfield Superior Court Judge Position 1",William D. (Bill) Acey,,7633,100,"Asotin, Columbia, Garfield Superior Court"
Asotin,PUBLIC UTILITY DISTRICT PUBLIC UTILITY COMMISSIONER #01,Judy Ridge,,6214,100,PUBLIC UTILITY DISTRICT
Asotin,CEMETERY DISTRICT COMMISSIONER #1,Don Barber,,6551,100,CEMETERY DISTRICT
Asotin,CEMETERY DISTRICT COMMISSIONER #2,STEVEN D. RYNEARSON,,6663,100,CEMETERY DISTRICT
Asotin,CEMETERY DISTRICT COMMISSIONER #3,FRANK H JOHNSON,,6648,100,CEMETERY DISTRICT
Asotin,"PUBLIC UTILITY DISTRICT PUD Proposition No 1 Shall Public Utility District No 1. of Asotin County be authorized to acquire, construct, operate, maintain, and add to sewage systems?",Yes,,5760,71.92,PUBLIC UTILITY DISTRICT
Asotin,"PUBLIC UTILITY DISTRICT PUD Proposition No 1 Shall Public Utility District No 1. of Asotin County be authorized to acquire, construct, operate, maintain, and add to sewage systems?",No,,2249,28.08,PUBLIC UTILITY DISTRICT
Asotin,EMS DISTRICT 1 City of Asotin Proposition 911,Special Levy Yes,,415,77.28,EMS DISTRICT 1
Asotin,EMS DISTRICT 1 City of Asotin Proposition 911,Special Levy No,,122,22.72,EMS DISTRICT 1
Asotin,EMS DISTRICT 2 City of Clarkston Proposition 911,Levy Yes,,1987,80.94,EMS DISTRICT 2
Asotin,EMS DISTRICT 2 City of Clarkston Proposition 911,Levy No,,468,19.06,EMS DISTRICT 2
Asotin,EMS DISTRICT 3 Asotin County Proposition 911,Levy Yes,,4741,79.57,EMS DISTRICT 3
Asotin,EMS DISTRICT 3 Asotin County Proposition 911,Levy No,,1217,20.43,EMS DISTRICT 3
Benton,Statewide Initiative Measure 985 concerns transportation,Yes,,20858,29.57,Statewide
Benton,Statewide Initiative Measure 985 concerns transportation,No,,49688,70.43,Statewide
Benton,Statewide Initiative Measure 1000 concerns allowing certain terminally ill competent adults to obtain lethal prescriptions,Yes,,35493,49.3,Statewide
Benton,Statewide Initiative Measure 1000 concerns allowing certain terminally ill competent adults to obtain lethal prescriptions,No,,36499,50.7,Statewide
Benton,Statewide Initiative Measure 1029 concerns long-term care services for the elderly and persons with disabilities,Yes,,47988,67.08,Statewide
Benton,Statewide Initiative Measure 1029 concerns long-term care services for the elderly and persons with disabilities,No,,23555,32.92,Statewide
Benton,Benton Benton County Proposition 1 INCREASE IN LOCAL SALES AND USE TAX FOR LAW AND JUSTICE NEEDS ,Approved,,29215,41.99,Benton
Benton,Benton Benton County Proposition 1 INCREASE IN LOCAL SALES AND USE TAX FOR LAW AND JUSTICE NEEDS ,Rejected,,40359,58.01,Benton
Benton,United States President/Vice President,Barack Obama / Joe Biden,Democratic Party Nominees,26288,36.05,United States
Benton,United States President/Vice President,John McCain / Sarah Palin,Republican Party Nominees,45345,62.19,United States
Benton,United States President/Vice President,Ralph Nader / Matt Gonzalez,Independent Candidates,610,0.84,United States
Benton,United States President/Vice President,Gloria La Riva / Eugene Puryear,Socialism & Liberation Party Nominees,13,0.02,United States
Benton,United States President/Vice President,James E. Harris / Alyson Kennedy,Socialist Workers Party Nominees,11,0.02,United States
Benton,United States President/Vice President,Bob Barr / Wayne A. Root,Libertarian Party Nominees,338,0.46,United States
Benton,United States President/Vice President,Chuck Baldwin / Darrell L. Castle,Constitution Party Nominees,247,0.34,United States
Benton,United States President/Vice President,Cynthia McKinney / Rosa Clemente,Green Party Nominees,59,0.08,United States
Benton,U.S. Congressional District 4 Representative,Doc Hastings,(Prefers Republican Party),46603,65.23,U.S. Congressional District 4
Benton,U.S. Congressional District 4 Representative,George Fearing,(Prefers Democratic Party),24838,34.77,U.S. Congressional District 4
Benton,Washington State Governor,Christine Gregoire,(Prefers Democratic Party),21968,30.26,Washington State
Benton,Washington State Governor,Dino Rossi,(Prefers G.O.P. Party),50635,69.74,Washington State
Benton,Washington State Lt. Governor,Brad Owen,(Prefers Democratic Party),31815,46.09,Washington State
Benton,Washington State Lt. Governor,Marcia McCraw,(Prefers Republican Party),37218,53.91,Washington State
Benton,Washington State Secretary of State,Sam Reed,(Prefers Republican Party),49619,71.96,Washington State
Benton,Washington State Secretary of State,Jason Osgood,(Prefers Democratic Party),19330,28.04,Washington State
Benton,Washington State State Treasurer,Allan Martin,(Prefers Republican Party),43736,64.4,Washington State
Benton,Washington State State Treasurer,Jim McIntire,(Prefers Democratic Party),24182,35.6,Washington State
Benton,Washington State State Auditor,Brian Sonntag,(Prefers Democratic Party),30868,45.25,Washington State
Benton,Washington State State Auditor,J. Richard (Dick) McEntee,(Prefers Republican Party),37356,54.75,Washington State
Benton,Washington State Attorney General,Rob McKenna,(Prefers Republican Party),51092,73.68,Washington State
Benton,Washington State Attorney General,John Ladenburg,(Prefers Democratic Party),18248,26.32,Washington State
Benton,Washington State Commissioner of Public Lands,Doug Sutherland,(Prefers Republican Party),45384,66.96,Washington State
Benton,Washington State Commissioner of Public Lands,Peter J. Goldmark,(Prefers Democratic Party),22392,33.04,Washington State
Benton,Washington State Superintendent of Public Instruction,Teresa (Terry) Bergeson,,26766,41.68,Washington State
Benton,Washington State Superintendent of Public Instruction,Randy Dorn,,37456,58.32,Washington State
Benton,Washington State Insurance Commissioner,Mike Kreidler,(Prefers Democratic Party),28779,43.33,Washington State
Benton,Washington State Insurance Commissioner,John R. Adams,(Prefers Republican Party),37634,56.67,Washington State
Benton,Legislative District 8 State Representative Pos. 1,Carol L. Moser,(Prefers Democratic Party),28278,47.49,Legislative District 8
Benton,Legislative District 8 State Representative Pos. 1,Brad Klippert,(Prefers Republican Party),31266,52.51,Legislative District 8
Benton,Legislative District 8 State Representative Pos. 2,Larry Haler,(Prefers G.O.P. Party),33987,60.18,Legislative District 8
Benton,Legislative District 8 State Representative Pos. 2,Rob Welch,(Prefers Republican Party),22493,39.82,Legislative District 8
Benton,Legislative District 16 State Senator,Mike Hewitt,(Prefers Republican Party),8598,100,Legislative District 16
Benton,Legislative District 16 State Representative Pos. 1,Maureen Walsh,(Prefers Republican Party),6988,71.91,Legislative District 16
Benton,Legislative District 16 State Representative Pos. 1,Dante Lee Montoya,(Prefers Democratic Party),2730,28.09,Legislative District 16
Benton,Legislative District 16 State Representative Pos. 2,Bill Grant,(Prefers Democratic Party),4725,47.96,Legislative District 16
Benton,Legislative District 16 State Representative Pos. 2,Terry R. Nealey,(Prefers Republican Party),5127,52.04,Legislative District 16
Benton,Benton Commissioner #1,Fred R Staples,(Prefers Republican Party),29702,47.13,Benton
Benton,Benton Commissioner #1,Leo Bowman,(Prefers Republican Party),33319,52.87,Benton
Benton,Benton Commissioner #3,Claude L Oliver,(Prefers Republican Party),27793,43.66,Benton
Benton,Benton Commissioner #3,James R Beaver,(Prefers Republican Party),35870,56.34,Benton
Benton,Supreme Court Justice Position 3,Mary Fairhurst,,52214,100,Supreme Court
Benton,Supreme Court Justice Position 4,Charles W. Johnson,,52140,100,Supreme Court
Benton,Supreme Court Justice Position 7,Debra L. Stephens,,52134,100,Supreme Court
Benton,"Benton, Franklin Superior Court Judge Position 1",Bruce Spanner,,38115,57.6,"Benton, Franklin Superior Court"
Benton,"Benton, Franklin Superior Court Judge Position 1",Salvador Mendoza Jr.,,28060,42.4,"Benton, Franklin Superior Court"
Benton,PUD Commissioner Dist #2 Commissioner #2,Pat Tucker,,15782,38.36,PUD Commissioner Dist #2
Benton,PUD Commissioner Dist #2 Commissioner #2,Jeff Hall,,25359,61.64,PUD Commissioner Dist #2
Benton,Fire District #4 Fire District No. 4 Proposition 1 Proposition Authorizing six year Emergency Medical Service Property Tax Levy,Yes,,3894,54.08,Fire District #4
Benton,Fire District #4 Fire District No. 4 Proposition 1 Proposition Authorizing six year Emergency Medical Service Property Tax Levy,No,,3306,45.92,Fire District #4
Benton,Fire District #4 Fire District No. 4 Proposition 2 BONDS TO RENOVATE FIRE STATIONS AND ACQUIRE EMERGENCY MEDICAL AND FIRE FIGHTING EQUIPMENT ,Approved,,3988,55.73,Fire District #4
Benton,Fire District #4 Fire District No. 4 Proposition 2 BONDS TO RENOVATE FIRE STATIONS AND ACQUIRE EMERGENCY MEDICAL AND FIRE FIGHTING EQUIPMENT ,Rejected,,3168,44.27,Fire District #4
Benton,Fire District #6 Fire District No. 6 Proposition 1 Proposition authorizing regular emergency medical services property tax levy,Yes,,141,59.49,Fire District #6
Benton,Fire District #6 Fire District No. 6 Proposition 1 Proposition authorizing regular emergency medical services property tax levy,No,,96,40.51,Fire District #6
Chelan,Statewide Initiative Measure 985 concerns transportation,Yes,,11752,38.6,Statewide
Chelan,Statewide Initiative Measure 985 concerns transportation,No,,18695,61.4,Statewide
Chelan,Statewide Initiative Measure 1000 concerns allowing certain terminally ill competent adults to obtain lethal prescriptions,Yes,,16226,51.59,Statewide
Chelan,Statewide Initiative Measure 1000 concerns allowing certain terminally ill competent adults to obtain lethal prescriptions,No,,15225,48.41,Statewide
Chelan,Statewide Initiative Measure 1029 concerns long-term care services for the elderly and persons with disabilities,Yes,,21853,71.56,Statewide
Chelan,Statewide Initiative Measure 1029 concerns long-term care services for the elderly and persons with disabilities,No,,8687,28.44,Statewide
Chelan,United States President/Vice President,Barack Obama / Joe Biden,Democratic Party Nominees,13781,43.12,United States
Chelan,United States President/Vice President,John McCain / Sarah Palin,Republican Party Nominees,17605,55.09,United States
Chelan,United States President/Vice President,Ralph Nader / Matt Gonzalez,Independent Candidates,308,0.96,United States
Chelan,United States President/Vice President,Gloria La Riva / Eugene Puryear,Socialism & Liberation Party Nominees,5,0.02,United States
Chelan,United States President/Vice President,James E. Harris / Alyson Kennedy,Socialist Workers Party Nominees,7,0.02,United States
Chelan,United States President/Vice President,Bob Barr / Wayne A. Root,Libertarian Party Nominees,98,0.31,United States
Chelan,United States President/Vice President,Chuck Baldwin / Darrell L. Castle,Constitution Party Nominees,125,0.39,United States
Chelan,United States President/Vice President,Cynthia McKinney / Rosa Clemente,Green Party Nominees,29,0.09,United States
Chelan,U.S. Congressional District 4 Representative,Doc Hastings,(Prefers Republican Party),20270,65.49,U.S. Congressional District 4
Chelan,U.S. Congressional District 4 Representative,George Fearing,(Prefers Democratic Party),10681,34.51,U.S. Congressional District 4
Chelan,Washington State Governor,Christine Gregoire,(Prefers Democratic Party),12087,37.99,Washington State
Chelan,Washington State Governor,Dino Rossi,(Prefers G.O.P. Party),19730,62.01,Washington State
Chelan,Washington State Lt. Governor,Brad Owen,(Prefers Democratic Party),14158,47.33,Washington State
Chelan,Washington State Lt. Governor,Marcia McCraw,(Prefers Republican Party),15753,52.67,Washington State
Chelan,Washington State Secretary of State,Sam Reed,(Prefers Republican Party),20913,69.7,Washington State
Chelan,Washington State Secretary of State,Jason Osgood,(Prefers Democratic Party),9093,30.3,Washington State
Chelan,Washington State State Treasurer,Allan Martin,(Prefers Republican Party),19477,65.37,Washington State
Chelan,Washington State State Treasurer,Jim McIntire,(Prefers Democratic Party),10318,34.63,Washington State
Chelan,Washington State State Auditor,Brian Sonntag,(Prefers Democratic Party),15101,50.79,Washington State
Chelan,Washington State State Auditor,J. Richard (Dick) McEntee,(Prefers Republican Party),14632,49.21,Washington State
Chelan,Washington State Attorney General,Rob McKenna,(Prefers Republican Party),21091,70.1,Washington State
Chelan,Washington State Attorney General,John Ladenburg,(Prefers Democratic Party),8996,29.9,Washington State
Chelan,Washington State Commissioner of Public Lands,Doug Sutherland,(Prefers Republican Party),18318,61.24,Washington State
Chelan,Washington State Commissioner of Public Lands,Peter J. Goldmark,(Prefers Democratic Party),11596,38.76,Washington State
Chelan,Washington State Superintendent of Public Instruction,Teresa (Terry) Bergeson,,12054,43.83,Washington State
Chelan,Washington State Superintendent of Public Instruction,Randy Dorn,,15445,56.17,Washington State
Chelan,Washington State Insurance Commissioner,Mike Kreidler,(Prefers Democratic Party),13359,46.48,Washington State
Chelan,Washington State Insurance Commissioner,John R. Adams,(Prefers Republican Party),15381,53.52,Washington State
Chelan,Legislative District 12 State Senator,Linda Evans Parlette,(Prefers G.O.P. Party),25301,100,Legislative District 12
Chelan,Legislative District 12 State Representative Pos. 1,Cary Condotta,(Prefers Republican Party),23197,100,Legislative District 12
Chelan,Legislative District 12 State Representative Pos. 2,Mike Armstrong,(Prefers Republican Party),16065,56.17,Legislative District 12
Chelan,Legislative District 12 State Representative Pos. 2,Courtney Cox,(Prefers Republican Party),12534,43.83,Legislative District 12
Chelan,CHELAN COUNTY COUNTY COMMISSIONER #01,Chuck Largent,(Prefers Democratic Party),13177,44.33,CHELAN COUNTY
Chelan,CHELAN COUNTY COUNTY COMMISSIONER #01,Ron Walter,(Prefers Republican Party),16549,55.67,CHELAN COUNTY
Chelan,CHELAN COUNTY COUNTY COMMISSIONER #03,Doug England,(Prefers Republican Party),14545,55.66,CHELAN COUNTY
Chelan,CHELAN COUNTY COUNTY COMMISSIONER #03,Deanna C Walter,(Prefers Republican Party),11585,44.34,CHELAN COUNTY
Chelan,Supreme Court Justice Position 3,Mary Fairhurst,,20649,100,Supreme Court
Chelan,Supreme Court Justice Position 4,Charles W. Johnson,,20509,100,Supreme Court
Chelan,Supreme Court Justice Position 7,Debra L. Stephens,,20432,100,Supreme Court
Chelan,"Court of Appeals, Division 3, District 3 Judge Position 1",Stephen M. Brown,,20302,100,"Court of Appeals, Division 3, District 3"
Chelan,Chelan Superior Court Judge Position 1,Lesley A. Allan,,21353,100,Chelan Superior Court
Chelan,Chelan Superior Court Judge Position 2,T.W. (Chip) Small,,22059,100,Chelan Superior Court
Chelan,Chelan Superior Court Judge Position 3,John E. Bridges,,21867,100,Chelan Superior Court
Chelan,"CITY OF WENATCHEE CITY OF WENATCHEE FIRE SAFETY ACQUISITION AND IMPROVEMENT BONDS - $15,123,000",ACCEPTED?,,6913,58,CITY OF WENATCHEE
Chelan,"CITY OF WENATCHEE CITY OF WENATCHEE FIRE SAFETY ACQUISITION AND IMPROVEMENT BONDS - $15,123,000",REJECTED?,,5007,42.01,CITY OF WENATCHEE
Chelan,PUBLIC UTILITY DIST A PUBLIC UTILITY DIST COMMISSIONER DIST A AT-LARGE,Carnan Bergren,,13537,52.4,PUBLIC UTILITY DIST A
Chelan,PUBLIC UTILITY DIST A PUBLIC UTILITY DIST COMMISSIONER DIST A AT-LARGE,Werner Janssen,,12295,47.6,PUBLIC UTILITY DIST A
Chelan,PUBLIC UTILITY DIST COMM 1 PUBLIC UTILITY DIST COMMISSIONER DIST 1,Norm Gutzwiler,,21538,100,PUBLIC UTILITY DIST COMM 1
Clallam,Statewide Initiative Measure 985 concerns transportation,Yes,,15404,42.51,Statewide
Clallam,Statewide Initiative Measure 985 concerns transportation,No,,20833,57.49,Statewide
Clallam,Statewide Initiative Measure 1000 concerns allowing certain terminally ill competent adults to obtain lethal prescriptions,Yes,,22976,60.67,Statewide
Clallam,Statewide Initiative Measure 1000 concerns allowing certain terminally ill competent adults to obtain lethal prescriptions,No,,14894,39.33,Statewide
Clallam,Statewide Initiative Measure 1029 concerns long-term care services for the elderly and persons with disabilities,Yes,,26903,73.11,Statewide
Clallam,Statewide Initiative Measure 1029 concerns long-term care services for the elderly and persons with disabilities,No,,9893,26.89,Statewide
Clallam,United States President/Vice President,Barack Obama / Joe Biden,Democratic Party Nominees,19470,50.55,United States
Clallam,United States President/Vice President,John McCain / Sarah Palin,Republican Party Nominees,18199,47.25,United States
Clallam,United States President/Vice President,Ralph Nader / Matt Gonzalez,Independent Candidates,478,1.24,United States
Clallam,United States President/Vice President,Gloria La Riva / Eugene Puryear,Socialism & Liberation Party Nominees,14,0.04,United States
Clallam,United States President/Vice President,James E. Harris / Alyson Kennedy,Socialist Workers Party Nominees,11,0.03,United States
